0.9703,0.177,0.1633,0.0208,0.0127,-0.0149,0.0665,0.0567957,0.091509,0.1022602,0.1169854,0.0630467,0.0924219,0.9953,0.0936,0.0247,0.005,0.0131,-0.0132,0.0896
0.9593,0.1982,0.2009,0.0097,0.0166,-0.0123,0.0749,0.016637,0.0339185,0.0462915,0.0930126,0.037785,0.0540139,0.9703,0.177,0.1633,0.0208,0.0127,-0.0149,0.0665
0.963,0.1547,0.2208,0.0014,0.0212,-0.0118,0.0675,0.0377958,0.0566346,0.0469467,0.1172109,0.0231672,0.0712631,0.9593,0.1982,0.2009,0.0097,0.0166,-0.0123,0.0749
0.9913,0.1317,-0.0037,-0.0074,0.0075,-0.0069,0.0601,0.0252724,0.0503621,0.0744638,0.1020883,0.0276353,0.0531117,0.963,0.1547,0.2208,0.0014,0.0212,-0.0118,0.0675
0.9988,0.0477,-0.014,-0.0017,0.0013,-0.0017,0.0367,0.0263464,0.0402768,0.0394283,0.0597816,0.0169915,0.0734864,0.9913,0.1317,-0.0037,-0.0074,0.0075,-0.0069,0.0601
0.9762,0.1268,0.1748,0.0204,0.0117,-0.012,0.0815,0.0161859,0.0271734,0.0198699,0.0325007,0.0203103,0.0331237,0.9988,0.0477,-0.014,-0.0017,0.0013,-0.0017,0.0367
0.9799,0.1596,0.1189,0.0151,0.0066,-0.0141,0.0648,0.039772,0.0776215,0.0570427,0.1308621,0.0555068,0.0830455,0.9762,0.1268,0.1748,0.0204,0.0117,-0.012,0.0815
0.8995,0.2677,0.3446,0.0233,0.0219,-0.0197,0.0588,0.0161215,0.0359162,0.050491,0.0779008,0.045486,0.0576764,0.9799,0.1596,0.1189,0.0151,0.0066,-0.0141,0.0648
0.9173,0.2102,0.338,0.0134,0.02,-0.0132,0.0527,0.0180762,0.0303634,0.0456149,0.1339983,0.0279253,0.0420168,0.8995,0.2677,0.3446,0.0233,0.0219,-0.0197,0.0588
0.9851,0.0859,0.1493,0.0027,0.0076,-0.0055,0.0399,0.0193973,0.0307285,0.0410609,0.102765,0.0188173,0.0317167,0.9173,0.2102,0.338,0.0134,0.02,-0.0132,0.0527
0.9946,0.0964,-0.0307,-0.0218,0.0204,0.0006,0.0839,0.0166155,0.0275708,0.0272808,0.051984,0.017464,0.0289456,0.9851,0.0859,0.1493,0.0027,0.0076,-0.0055,0.0399
0.9519,0.1582,-0.2621,-0.0097,-0.0129,-0.0099,0.058,0.055045,0.0842699,0.0771597,0.0981036,0.0179366,0.1131081,0.9946,0.0964,-0.0307,-0.0218,0.0204,0.0006,0.0839
0.9686,0.1493,-0.199,0.0028,-0.0109,-0.0078,0.0485,0.0162181,0.0288812,0.01668,0.0293645,0.077933,0.0966644,0.9519,0.1582,-0.2621,-0.0097,-0.0129,-0.0099,0.058
0.9616,0.2129,0.173,0.011,0.0138,-0.0127,0.0733,0.0164759,0.0292463,0.0187636,0.0396968,0.0187422,0.0762038,0.9686,0.1493,-0.199,0.0028,-0.0109,-0.0078,0.0485
0.987,0.1589,0.0254,0.0059,0.0018,-0.0087,0.0544,0.0352073,0.0550128,0.0414153,0.1252448,0.0265075,0.0698132,0.9616,0.2129,0.173,0.011,0.0138,-0.0127,0.0733
0.9861,0.1574,-0.0527,-0.011,-0.0203,-0.0291,0.1076,0.0162718,0.0289027,0.0179366,0.0530258,0.0277319,0.059889,0.987,0.1589,0.0254,0.0059,0.0018,-0.0087,0.0544
0.9851,0.1416,-0.0971,0.0072,-0.0113,-0.0033,0.0885,0.0529828,0.1073834,0.0706939,0.132935,0.1105304,0.1449536,0.9861,0.1574,-0.0527,-0.011,-0.0203,-0.0291,0.1076
0.9149,0.2559,0.3121,0.0106,0.0223,-0.0152,0.0636,0.0492774,0.0612423,0.0217387,0.0771811,0.0248642,0.1004558,0.9851,0.1416,-0.0971,0.0072,-0.0113,-0.0033,0.0885
0.9895,0.0751,0.1239,0.002,0.0079,-0.0058,0.0377,0.017754,0.0321892,0.1104122,0.1370594,0.024789,0.0409535,0.9149,0.2559,0.3121,0.0106,0.0223,-0.0152,0.0636
0.9225,0.2815,-0.2639,0.0062,-0.0335,-0.0292,0.0574,0.0161537,0.0270231,0.0206647,0.0398042,0.0161537,0.0272808,0.9895,0.0751,0.1239,0.002,0.0079,-0.0058,0.0377
0.9948,0.1018,0.006,0.0004,-0.0055,-0.0097,0.0413,0.0213306,0.0399009,0.0380643,0.0676758,0.1310769,0.1423866,0.9225,0.2815,-0.2639,0.0062,-0.0335,-0.0292,0.0574
0.9954,0.0953,-0.007,0.0016,0.0013,0.0016,0.0631,0.0168196,0.0281616,0.030256,0.0475804,0.018624,0.0294504,0.9948,0.1018,0.006,0.0004,-0.0055,-0.0097,0.0413
0.9294,0.2419,0.2782,0.0148,0.0158,-0.0139,0.0652,0.0419738,0.0557539,0.0280005,0.073626,0.018624,0.079587,0.9954,0.0953,-0.007,0.0016,0.0013,0.0016,0.0631
0.9746,0.1986,-0.1035,-0.0018,-0.0256,-0.0248,0.09,0.0209762,0.034971,0.027152,0.1256422,0.0231565,0.0477737,0.9294,0.2419,0.2782,0.0148,0.0158,-0.0139,0.0652
0.988,0.0847,-0.1295,-0.0014,-0.013,-0.008,0.0491,0.0481818,0.0825836,0.051114,0.0948492,0.1131618,0.1378327,0.9746,0.1986,-0.1035,-0.0018,-0.0256,-0.0248,0.09
0.9847,0.1281,0.1179,-0.0075,0.0145,-0.0098,0.0542,0.0174211,0.0288489,0.0171633,0.0292356,0.041802,0.053391,0.988,0.0847,-0.1295,-0.0014,-0.013,-0.008,0.0491
0.9465,0.3051,-0.1044,-0.0123,-0.001,-0.0232,0.0667,0.020031,0.0430264,0.0689432,0.0892857,0.0205358,0.0521236,0.9847,0.1281,0.1179,-0.0075,0.0145,-0.0098,0.0542
0.9534,0.2087,0.2176,0.0084,0.013,-0.0137,0.052,0.0170452,0.0283227,0.0402016,0.0755808,0.0303204,0.1126355,0.9465,0.3051,-0.1044,-0.0123,-0.001,-0.0232,0.0667
0.9367,0.349,-0.0285,-0.006,0.002,-0.0279,0.0711,0.0170452,0.0288167,0.0520269,0.0965677,0.0170881,0.0294504,0.9534,0.2087,0.2176,0.0084,0.013,-0.0137,0.052
0.9408,0.2464,-0.2323,-0.0126,-0.0312,-0.0287,0.0796,0.0199021,0.0329948,0.0440253,0.0949996,0.0311259,0.1181131,0.9367,0.349,-0.0285,-0.006,0.002,-0.0279,0.0711
0.9558,0.2676,0.1211,0.0143,0.0058,-0.0246,0.0788,0.0375487,0.0653773,0.0455934,0.0764508,0.1188113,0.1331498,0.9408,0.2464,-0.2323,-0.0126,-0.0312,-0.0287,0.0796
0.8953,0.3033,0.3248,-0.0311,0.036,-0.0253,0.0607,0.0206969,0.0477629,0.040352,0.1248474,0.0209762,0.0775141,0.9558,0.2676,0.1211,0.0143,0.0058,-0.0246,0.0788
0.8846,0.2768,0.3753,0.0021,0.0289,-0.0212,0.0643,0.0202029,0.0318455,0.1220334,0.1375856,0.0169485,0.0548839,0.8953,0.3033,0.3248,-0.0311,0.036,-0.0253,0.0607
0.9408,0.2734,0.1983,-0.0297,0.0305,-0.0257,0.0778,0.0173674,0.040352,0.027646,0.1344172,0.0177433,0.0489551,0.8846,0.2768,0.3753,0.0021,0.0289,-0.0212,0.0643
